image_uri,prompt,diagram,neural_network
images_gen\dream\class_diagram\1_1_D.jpg,Сгенерируй диаграмму классов,Диаграмма классов,Dream
images_gen\dream\class_diagram\1_2_D.jpg,Сгенерируй диаграмму классов,Диаграмма классов,Dream
images_gen\dream\class_diagram\1_3_D.jpg,Сгенерируй диаграмму классов,Диаграмма классов,Dream
images_gen\dream\class_diagram\1_4_D.jpg,Сгенерируй диаграмму классов,Диаграмма классов,Dream
images_gen\dream\class_diagram\1_5_D.jpg,Сгенерируй диаграмму классов,Диаграмма классов,Dream
images_gen\dream\class_diagram\2_1_D.jpg,Сгенерируй class diagram,Диаграмма классов,Dream
images_gen\dream\class_diagram\2_2_D.jpg,Сгенерируй class diagram,Диаграмма классов,Dream
images_gen\dream\class_diagram\2_3_D.jpg,Сгенерируй class diagram,Диаграмма классов,Dream
images_gen\dream\class_diagram\2_4_D.jpg,Сгенерируй class diagram,Диаграмма классов,Dream
images_gen\dream\class_diagram\2_5_D.jpg,Сгенерируй class diagram,Диаграмма классов,Dream
images_gen\dream\class_diagram\3_1_D.jpg,Сгенерируй диаграмму классов на языке UML,Диаграмма классов,Dream
images_gen\dream\class_diagram\3_2_D.jpg,Сгенерируй диаграмму классов на языке UML,Диаграмма классов,Dream
images_gen\dream\class_diagram\3_3_D.jpg,Сгенерируй диаграмму классов на языке UML,Диаграмма классов,Dream
images_gen\dream\class_diagram\3_4_D.jpg,Сгенерируй диаграмму классов на языке UML,Диаграмма классов,Dream
images_gen\dream\class_diagram\3_5_D.jpg,Сгенерируй диаграмму классов на языке UML,Диаграмма классов,Dream
images_gen\dream\class_diagram\4_1_D.jpg,Сгенерируй диаграмму классов на языке UML. Классы в объектно-ориентированном моделировании представлены с тремя компонентами: в верхней части имя класса. Поля (атрибуты) класса располагаются в центральной части. Методы класса пишутся в нижней части.,Диаграмма классов,Dream
images_gen\dream\class_diagram\4_2_D.jpg,Сгенерируй диаграмму классов на языке UML. Классы в объектно-ориентированном моделировании представлены с тремя компонентами: в верхней части имя класса. Поля (атрибуты) класса располагаются в центральной части. Методы класса пишутся в нижней части.,Диаграмма классов,Dream
images_gen\dream\class_diagram\4_3_D.jpg,Сгенерируй диаграмму классов на языке UML. Классы в объектно-ориентированном моделировании представлены с тремя компонентами: в верхней части имя класса. Поля (атрибуты) класса располагаются в центральной части. Методы класса пишутся в нижней части.,Диаграмма классов,Dream
images_gen\dream\class_diagram\4_4_D.jpg,Сгенерируй диаграмму классов на языке UML. Классы в объектно-ориентированном моделировании представлены с тремя компонентами: в верхней части имя класса. Поля (атрибуты) класса располагаются в центральной части. Методы класса пишутся в нижней части.,Диаграмма классов,Dream
